content_id,content_type,title,category,publish_date,source,source_url,status
cdc_k_295587,knowledge,儿童青少年生长迟缓 这样来食养,营养与健康,2023-03-09,中国疾病预防控制中心,https://www.chinacdc.cn/jkkp/yyjk/rqyy/202408/t20240825_295587.html,published
cdc_k_295590,knowledge,高温天饮食有讲究，吃对了健康又精神！,营养与健康,2024-08-25,中国疾病预防控制中心,https://www.chinacdc.cn/jkkp/yyjk/swyy/202408/t20240825_295590.html,published
cdc_k_295591,knowledge,立秋要不要贴秋膘？秋季科学食养大揭秘！,营养与健康,2024-08-07,中国疾病预防控制中心,https://www.chinacdc.cn/jkkp/yyjk/swyy/202408/t20240825_295591.html,published
cdc_k_295592,knowledge,大暑节气话饮食,营养与健康,2024-07-22,中国疾病预防控制中心,https://www.chinacdc.cn/jkkp/yyjk/swyy/202408/t20240825_295592.html,published
cdc_k_295593,knowledge,小暑时节话饮食,营养与健康,2024-07-06,中国疾病预防控制中心,https://www.chinacdc.cn/jkkp/yyjk/swyy/202408/t20240825_295593.html,published
cdc_k_295601,knowledge,冬季呼吸道疾病高发，如何安排全家饮食？,营养与健康,2023-12-25,中国疾病预防控制中心,https://www.chinacdc.cn/jkkp/yyjk/jbyy/202408/t20240825_295601.html,published
cdc_k_295602,knowledge,患有糖尿病 这样来食养,营养与健康,2023-11-16,中国疾病预防控制中心,https://www.chinacdc.cn/jkkp/yyjk/jbyy/202408/t20240825_295602.html,published
cdc_k_295603,knowledge,全国防治碘缺乏病日 | 为什么碘是人体必需的微量元素？人体每天需要多少碘？,营养与健康,2024-05-18,中国疾病预防控制中心,https://www.chinacdc.cn/jkkp/yyjk/wlyy/202408/t20240825_295603.html,published
cdc_k_295605,knowledge,2024年世界水日：关注饮水卫生，共享健康生活,环境健康,2024-03-22,中国疾病预防控制中心,https://www.chinacdc.cn/jkkp/hjjk/szljk/202408/t20240825_295605.html,published
cdc_k_295611,knowledge,关注AQI，科学体育锻炼,环境健康,2024-06-20,中国疾病预防控制中心,https://www.chinacdc.cn/jkkp/hjjk/kqzl/202408/t20240825_295611.html,published
cdc_k_295612,knowledge,春日飘“雪”，杨柳絮的烦恼又来了！,环境健康,2024-04-17,中国疾病预防控制中心,https://www.chinacdc.cn/jkkp/hjjk/kqzl/202408/t20240825_295612.html,published
cdc_k_295613,knowledge,春风拂面，絮不沾身——春季飞絮的防护秘籍,环境健康,2024-08-25,中国疾病预防控制中心,https://www.chinacdc.cn/jkkp/hjjk/kqzl/202408/t20240825_295613.html,published
cdc_k_295614,knowledge,世界环境日—守护净土 共促健康,环境健康,2024-06-05,中国疾病预防控制中心,https://www.chinacdc.cn/jkkp/hjjk/trzl/202408/t20240825_295614.html,published
cdc_k_295615,knowledge,关注电子垃圾污染的健康危害,环境健康,2024-06-19,中国疾病预防控制中心,https://www.chinacdc.cn/jkkp/hjjk/trzl/202408/t20240825_295615.html,published
cdc_k_295620,knowledge,冬季呼吸道疾病高发期，家庭消毒如何做？,环境健康,2023-12-14,中国疾病预防控制中心,https://www.chinacdc.cn/jkkp/hjjk/xdgr/202408/t20240825_295620.html,published
cdc_k_295633,knowledge,有人@你：最完整的核和辐射小知识在这里！,放射卫生,2016-07-05,中国疾病预防控制中心,https://www.chinacdc.cn/jkkp/fsws/hfs/202408/t20240825_295633.html,published
cdc_k_295634,knowledge,小心看不见的氡,放射卫生,2023-08-22,中国疾病预防控制中心,https://www.chinacdc.cn/jkkp/fsws/dwh/202408/t20240825_295634.html,published
cdc_k_295635,knowledge,【科普大赛作品展播】医疗照射的辐射防护,放射卫生,2021-08-26,中国疾病预防控制中心,https://www.chinacdc.cn/jkkp/fsws/fsfh/202408/t20240825_295635.html,published
cdc_k_295636,knowledge,经常行包安检，小小细节带您了解,放射卫生,2024-06-07,中国疾病预防控制中心,https://www.chinacdc.cn/jkkp/fsws/fsfh/202408/t20240825_295636.html,published
cdc_k_295677,knowledge,2024年“全国儿童预防接种日”主题宣传海报发布,免疫规划,2024-04-11,中国疾病预防控制中心,https://www.chinacdc.cn/jkkp/mygh/ztrxc/202408/t20240826_295677.html,published
cdc_k_296985,knowledge,高温天气，中国疾控中心提醒您谨防中暑,公共卫生事件,2023-06-18,中国疾病预防控制中心,https://www.chinacdc.cn/jkkp/ggws/hjyssj/202409/t20240906_296985.html,published
cdc_k_296986,knowledge,小小要点记心间 远离中暑一夏天,公共卫生事件,2024-06-27,中国疾病预防控制中心,https://www.chinacdc.cn/jkkp/ggws/hjyssj/202409/t20240906_296986.html,published
cdc_k_296988,knowledge,科学防晒：全面护肤要点早知道（一）,公共卫生事件,2024-07-21,中国疾病预防控制中心,https://www.chinacdc.cn/jkkp/ggws/hjyssj/202409/t20240906_296988.html,published
cdc_k_296989,knowledge,科学防晒：全面护肤要点早知道（二）,公共卫生事件,2024-07-22,中国疾病预防控制中心,https://www.chinacdc.cn/jkkp/ggws/hjyssj/202409/t20240906_296989.html,published
cdc_k_296991,knowledge,科学防晒：全面护肤要点早知道（三）,公共卫生事件,2024-07-23,中国疾病预防控制中心,https://www.chinacdc.cn/jkkp/ggws/hjyssj/202409/t20240906_296991.html,published
cdc_k_300826,knowledge,2021年全国儿童预防接种日宣传主题和海报揭晓,免疫规划,2021-04-20,中国疾病预防控制中心,https://www.chinacdc.cn/jkkp/mygh/ztrxc/202409/t20240925_300826.html,published
cdc_k_300827,knowledge,新冠病毒疫苗宣传海报,免疫规划,2021-05-07,中国疾病预防控制中心,https://www.chinacdc.cn/jkkp/mygh/ztrxc/202409/t20240925_300827.html,published
cdc_k_300828,knowledge,2022年全国儿童预防接种日宣传主题和海报揭晓,免疫规划,2022-04-18,中国疾病预防控制中心,https://www.chinacdc.cn/jkkp/mygh/ztrxc/202409/t20240925_300828.html,published
cdc_k_300829,knowledge,2023年全国儿童预防接种日宣传主题和海报揭晓,免疫规划,2023-04-24,中国疾病预防控制中心,https://www.chinacdc.cn/jkkp/mygh/ztrxc/202409/t20240925_300829.html,published
cdc_k_301129,knowledge,斑马为什么不得溃疡,职业健康与中毒控制,2016-04-25,中国疾病预防控制中心,https://www.chinacdc.cn/jkkp/zyjk/zyjk/zybfzzs/201604/t20160425_301129.html,published
cdc_k_301130,knowledge,关爱女职工—关于纺织印染行业女职工的点点滴滴,职业健康与中毒控制,2016-04-25,中国疾病预防控制中心,https://www.chinacdc.cn/jkkp/zyjk/zyjk/zybfzzs/201604/t20160425_301130.html,published
cdc_k_301131,knowledge,纺织印染行业女职工要谨防中暑,职业健康与中毒控制,2016-04-25,中国疾病预防控制中心,https://www.chinacdc.cn/jkkp/zyjk/zyjk/zybfzzs/201604/t20160425_301131.html,published
cdc_k_301132,knowledge,纺织印染行业粉尘危害知多少,职业健康与中毒控制,2016-04-25,中国疾病预防控制中心,https://www.chinacdc.cn/jkkp/zyjk/zyjk/zybfzzs/201604/t20160425_301132.html,published
cdc_k_301133,knowledge,纺织印染行业的生产性噪声,职业健康与中毒控制,2016-04-25,中国疾病预防控制中心,https://www.chinacdc.cn/jkkp/zyjk/zyjk/zybfzzs/201604/t20160425_301133.html,published
cdc_k_301134,knowledge,防止纺织印染行业噪声危害的措施有哪些,职业健康与中毒控制,2016-04-25,中国疾病预防控制中心,https://www.chinacdc.cn/jkkp/zyjk/zyjk/zybfzzs/201604/t20160425_301134.html,published
cdc_k_301135,knowledge,煤炭行业中的高温高湿作业对人体健康影响几何,职业健康与中毒控制,2016-04-25,中国疾病预防控制中心,https://www.chinacdc.cn/jkkp/zyjk/zyjk/zybfzzs/201604/t20160425_301135.html,published
cdc_k_301136,knowledge,煤炭行业噪声对人体危害有哪些,职业健康与中毒控制,2016-04-25,中国疾病预防控制中心,https://www.chinacdc.cn/jkkp/zyjk/zyjk/zybfzzs/201604/t20160425_301136.html,published
cdc_k_301137,knowledge,防尘是有效预防煤矿粉尘危害的方法,职业健康与中毒控制,2016-04-25,中国疾病预防控制中心,https://www.chinacdc.cn/jkkp/zyjk/zyjk/zybfzzs/201604/t20160425_301137.html,published
cdc_k_301138,knowledge,煤矿粉尘如何危害人体健康,职业健康与中毒控制,2016-04-25,中国疾病预防控制中心,https://www.chinacdc.cn/jkkp/zyjk/zyjk/zybfzzs/201604/t20160425_301138.html,published
cdc_k_301139,knowledge,关注打工妹的生殖健康,职业健康与中毒控制,2016-04-25,中国疾病预防控制中心,https://www.chinacdc.cn/jkkp/zyjk/zyjk/zybfzzs/201604/t20160425_301139.html,published
cdc_k_301140,knowledge,低温冷水作业的职业危害,职业健康与中毒控制,2016-04-25,中国疾病预防控制中心,https://www.chinacdc.cn/jkkp/zyjk/zyjk/zybfzzs/201604/t20160425_301140.html,published
cdc_k_301141,knowledge,打工妹---如何做好胶粘剂的防护,职业健康与中毒控制,2016-04-25,中国疾病预防控制中心,https://www.chinacdc.cn/jkkp/zyjk/zyjk/zybfzzs/201604/t20160425_301141.html,published
cdc_k_301142,knowledge,打工妹—呵护自己的健康,职业健康与中毒控制,2016-04-25,中国疾病预防控制中心,https://www.chinacdc.cn/jkkp/zyjk/zyjk/zybfzzs/201604/t20160425_301142.html,published
cdc_k_301143,knowledge,你所不知道的电磁辐射超敏反应,职业健康与中毒控制,2016-08-04,中国疾病预防控制中心,https://www.chinacdc.cn/jkkp/zyjk/zyjk/zybfzzs/201608/t20160804_301143.html,published
cdc_k_301144,knowledge,工作场所哪些有害因素可影响生殖健康？,职业健康与中毒控制,2016-08-04,中国疾病预防控制中心,https://www.chinacdc.cn/jkkp/zyjk/zyjk/zybfzzs/201608/t20160804_301144.html,published
cdc_k_301148,knowledge,职业性尘肺病的表现与预防,职业健康与中毒控制,2018-09-04,中国疾病预防控制中心,https://www.chinacdc.cn/jkkp/zyjk/zyjk/zybfzzs/201809/t20180904_301148.html,published
cdc_k_301149,knowledge,职业卫生所发布《职业健康素养60条》宣传材料（印刷版）,职业健康与中毒控制,2024-04-28,中国疾病预防控制中心,https://www.chinacdc.cn/jkkp/zyjk/zyjk/zybfzzs/202404/t20240428_301149.html,published
cdc_k_301152,knowledge,2017年《职业病防治法》宣传周海报,职业健康与中毒控制,2017-04-18,中国疾病预防控制中心,https://www.chinacdc.cn/jkkp/zyjk/zyjk/zyjkxchd/201704/t20170418_301152.html,published
cdc_k_301153,knowledge,2018年《职业病防治法》宣传周海报,职业健康与中毒控制,2018-04-03,中国疾病预防控制中心,https://www.chinacdc.cn/jkkp/zyjk/zyjk/zyjkxchd/201804/t20180403_301153.html,published
cdc_k_301156,knowledge,2020年《职业病防治法》宣传周海报与推荐宣传用语,职业健康与中毒控制,2020-04-21,中国疾病预防控制中心,https://www.chinacdc.cn/jkkp/zyjk/zyjk/zyjkxchd/202004/t20200421_301156.html,published
