record_quarter,region,avg_temperature,min_temperature,max_temperature,avg_humidity,total_precipitation,avg_wind_speed,record_days
2025-Q4,哈尔滨市,-3.1666666666666665,-13.3,5.3,60.333333333333336,32.0,3.09,3
2025-Q4,喀什市,5.7,-1.6,14.3,39.5,8.299999999999999,1.2100000000000002,3
2025-Q4,大连市,8.066666666666668,1.1,13.7,62.0,89.5,3.6033333333333335,3
2025-Q4,天津市,7.033333333333334,0.3,12.9,56.833333333333336,130.2,1.9733333333333334,3
2025-Q4,太原市,4.966666666666667,-0.7,11.0,61.0,178.0,1.7333333333333334,3
2025-Q4,宁波市,16.366666666666664,10.8,24.0,71.16666666666667,132.0,2.5966666666666662,3
2025-Q4,宜昌市,13.6,9.0,18.5,79.5,147.6,1.0,3
2025-Q4,广州市,21.233333333333334,17.8,26.3,67.66666666666667,82.3,2.48,3
2025-Q4,康定市,5.266666666666667,2.5,10.6,76.76666666666667,247.2,0.8733333333333334,3
2025-Q4,成都市,13.6,9.3,18.9,80.53333333333333,87.30000000000001,1.38,3
2025-Q4,拉萨市,6.533333333333334,3.4,10.8,34.03333333333334,18.3,1.2433333333333334,3
2025-Q4,攀枝花市,16.466666666666665,12.6,21.2,73.16666666666667,408.2,0.8233333333333333,3
2025-Q4,昆明市,12.166666666666666,9.3,16.2,78.8,268.59999999999997,1.75,3
2025-Q4,景洪市,20.73333333333333,17.9,24.1,84.23333333333333,320.4,0.7033333333333333,3
2025-Q4,杭州市,15.1,9.4,22.7,70.3,140.5,2.1633333333333336,3
2025-Q4,桂林市,17.866666666666667,13.9,23.6,64.46666666666665,198.39999999999998,2.8033333333333332,3
2025-Q4,武汉市,14.133333333333333,9.4,19.4,75.23333333333333,196.4,2.04,3
2025-Q4,沈阳市,2.533333333333333,-6.1,9.7,55.199999999999996,29.0,2.566666666666667,3
2025-Q4,济南市,9.266666666666667,3.3,14.1,60.73333333333334,189.1,2.8766666666666665,3
2025-Q4,海口市,23.3,21.3,26.0,78.73333333333333,437.9,4.88,3
2025-Q4,深圳市,21.76666666666667,18.9,25.6,68.2,88.4,2.776666666666667,3
2025-Q4,漠河市,-14.5,-26.0,-3.4,70.76666666666667,76.39999999999999,1.83,3
